coin_slug,price_usd,market_cap_usd,predictions_median_price_february,predictions_vote_count_february,pct_diff
ufo-gaming,9.76e-06,251522554.15643007,0.01093,18392.0,111887.7049180328
safemoon,1.53e-06,277800682.8430044,3.4e-05,1528.0,2122.222222222222
vectorspace-ai,2.47,93957774.6210456,11.0,238.0,345.34412955465586
ren,0.331255,331531959.5389059,1.07,1030.0,223.01399224162654
serum,2.26,301624008.1420011,7.03,250.0,211.06194690265488
ellipsis,0.164298,96182040.75091685,0.4957,1688.0,201.7078722808555
smooth-love-potion,0.01032123,310132377.56465256,0.03033,659.0,193.86032478687133
ergo,3.49,174250079.41600704,10.0,223.0,186.53295128939823
electroneum,0.00718242,128296675.50164467,0.01944,504.0,170.6608636086444
ethereum-name-service,18.58,422373602.7746788,50.0,206.0,169.10656620021533
moonriver,79.1,226273304.97742948,200.0,282.0,152.84450063211125
star-atlas-polis,2.82,60870061.14330242,7.0,207.0,148.22695035460995
telcoin,0.00788974,492055645.03796816,0.01952,223.0,147.40992732333385
kusama,172.5,1549270145.991056,418.5,4152.0,142.60869565217394
qredo,2.4,100062430.0588621,5.7712,2470.0,140.4666666666667
origin-protocol,0.338507,136989051.56539026,0.8103,254.0,139.37466581193297
star-atlas,0.04971538,107366798.72880541,0.1181,461.0,137.5522423845498
ecash,7.746e-05,1469618202.3420064,0.0001797,695.0,131.99070487993808
mango-markets,0.148736,152138838.32434237,0.3435,222.0,130.94610585197935
vethor-token,0.00380299,171358747.04499674,0.008683,881.0,128.32034793675504
alien-worlds,0.111137,137926348.31311926,0.25,214.0,124.94758721217956
tezos,3.11,2728823424.4486356,6.9504,4417.0,123.4855305466238
stormx,0.01459397,135650408.7969514,0.03233,285.0,121.52985102751339
horizen,42.31,508268708.2256723,92.38,203.0,118.34081777357595
icon,0.762906,539222907.9947592,1.66,268.0,117.58906077550839
enzyme,55.95,81353713.0134681,121.14,284.0,116.51474530831098
uquid-coin,8.83,88339570.80481808,18.79,569.0,112.79728199320496
star-link,1.969e-05,196502212.69114086,4.182e-05,224.0,112.3920771965465
biswap,0.603173,110716571.97584775,1.27,403.0,110.55319120716614
injective-protocol,4.57,222548824.56163564,9.61,1149.0,110.28446389496716
verasity,0.02033523,90824412.77375354,0.04239,504.0,108.45596533700382
internet-computer,20.77,4143667688.261197,42.99,1564.0,106.98122291766974
ontology,0.481428,421483436.02285916,0.9899,6399.0,105.61745473881868
cardano,1.07,34347623844.459705,2.192,65814.0,104.85981308411216
axie-infinity,48.89,3473967253.840965,100.0,1639.0,104.54080589077522
filecoin,20.17,3119415777.5739803,40.98,912.0,103.17302925136337
flow,6.02,1920577817.4602976,12.13,527.0,101.4950166112957
perpetual-protocol,6.05,385188327.36931974,12.17,238.0,101.15702479338844
waves,10.1,1012152490.829086,20.26,474.0,100.5940594059406
loopring,1.0,1247631739.715321,2.0,717.0,100.0
everipedia,0.00914698,91139981.66633832,0.01829,1347.0,99.95670702242707
nano,2.36,314928817.6557487,4.71,1777.0,99.57627118644068
quant,98.11,1316197596.590646,194.24,660.0,97.98185709917439
whale,7.62,55663840.597476065,15.05,310.0,97.50656167979004
dydx,6.04,478041947.88335305,11.91,242.0,97.18543046357615
gods-unchained,2.28,76969440.64774346,4.47,211.0,96.05263157894737
jasmy,0.0483264,229776323.14387372,0.09456,271.0,95.66944775526423
the-graph,0.419333,2583210189.7802296,0.8,5912.0,90.7791659611812
thorchain,4.2,1263765806.5093546,7.84,510.0,86.66666666666664
celo,3.19,1233266205.4941144,5.933,661.0,85.98746081504703
arweave,32.83,1645173571.172816,61.0,460.0,85.80566554980203
zilliqa,0.0461796,640606723.071277,0.08541,1326.0,84.95179689733128
aave,153.55,2073114488.0015903,282.03,1158.0,83.67307066102244
pancakeswap,7.31,1921534893.1488585,13.31,1255.0,82.0793433652531
augur,13.16,90851579.05118676,23.93,253.0,81.83890577507597
ethereum-classic,25.43,3375263440.641399,46.1,677.0,81.28195045222179
joe,1.23,198651054.7262793,2.2,223.0,78.86178861788619
mobox,2.65,288224493.0033345,4.71,241.0,77.73584905660378
bitcoin-cash,297.83,5650115859.760004,521.36,1067.0,75.05288251687206
